ID;TravelMotives;TravelModes;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3
11528;2030170;A018984;PV22    ;2020JJ00;    0.10;    0.54;    2.02
11529;2030170;A018984;PV22    ;2021JJ00;    0.12;    0.54;    2.09
11530;2030170;A018984;PV22    ;2022JJ00;    0.11;    0.51;    1.91
11531;2030170;A018984;PV22    ;2023JJ00;    0.11;    0.53;    2.01
11532;2030170;A018984;PV23    ;2018JJ00;    0.18;    0.71;    2.96
11533;2030170;A018984;PV23    ;2019JJ00;    0.20;    0.87;    3.28
11534;2030170;A018984;PV23    ;2020JJ00;    0.12;    0.47;    1.91
11535;2030170;A018984;PV23    ;2021JJ00;    0.14;    0.58;    2.55
11536;2030170;A018984;PV23    ;2022JJ00;    0.16;    0.71;    2.80
11537;2030170;A018984;PV23    ;2023JJ00;    0.16;    0.74;    2.94
11538;2030170;A018984;PV24    ;2018JJ00;    0.11;    0.42;    1.69
11539;2030170;A018984;PV24    ;2019JJ00;    0.10;    0.36;    1.44
11540;2030170;A018984;PV24    ;2020JJ00;    0.08;    0.29;    1.26
11541;2030170;A018984;PV24    ;2021JJ00;    0.09;    0.36;    1.65
11542;2030170;A018984;PV24    ;2022JJ00;    0.09;    0.35;    1.33
11543;2030170;A018984;PV24    ;2023JJ00;    0.09;    0.38;    1.56
11544;2030170;A018984;PV25    ;2018JJ00;    0.16;    0.70;    2.82
11545;2030170;A018984;PV25    ;2019JJ00;    0.14;    0.67;    2.54
11546;2030170;A018984;PV25    ;2020JJ00;    0.11;    0.46;    1.91
11547;2030170;A018984;PV25    ;2021JJ00;    0.11;    0.47;    1.96
11548;2030170;A018984;PV25    ;2022JJ00;    0.14;    0.64;    2.57
11549;2030170;A018984;PV25    ;2023JJ00;    0.13;    0.59;    2.42
11550;2030170;A018984;PV26    ;2018JJ00;    0.19;    0.98;    3.86
11551;2030170;A018984;PV26    ;2019JJ00;    0.16;    0.87;    3.13
11552;2030170;A018984;PV26    ;2020JJ00;    0.11;    0.52;    2.10
11553;2030170;A018984;PV26    ;2021JJ00;    0.11;    0.55;    2.17
11554;2030170;A018984;PV26    ;2022JJ00;    0.13;    0.63;    2.52
11555;2030170;A018984;PV26    ;2023JJ00;    0.13;    0.75;    2.84
11556;2030170;A018984;PV27    ;2018JJ00;    0.16;    0.89;    3.52
11557;2030170;A018984;PV27    ;2019JJ00;    0.15;    0.78;    3.35
11558;2030170;A018984;PV27    ;2020JJ00;    0.11;    0.54;    2.31
11559;2030170;A018984;PV27    ;2021JJ00;    0.11;    0.54;    2.36
